City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
140,kimbe,32,PG,1525644350,100,-5.56,150.15,77.87,5.61
141,hualmay,24,PE,1525644351,85,-11.1,-77.61,70.58,4.72
142,yarmouth,0,GB,1525641600,71,50.71,-1.5,64.4,1.12
143,camacupa,0,AO,1525644351,67,-12.02,17.48,61.67,4.16
144,kavaratti,20,IN,1525644193,100,10.57,72.64,85.16,5.95
145,mugumu,56,TZ,1525644352,100,-1.84,34.67,59.6,2.59
146,mezhdurechensk,8,RU,1525644353,83,53.69,88.07,26.39,4.27
147,castro,100,CL,1525644353,85,-42.48,-73.76,56.0,2.37
148,talcahuano,90,CL,1525640400,100,-36.72,-73.12,57.2,8.05
149,ponta do sol,8,BR,1525644354,56,-20.63,-46.0,74.81,2.93
150,daru,88,SL,1525644355,81,7.99,-10.85,77.87,5.61
151,araouane,8,ML,1525644355,20,18.9,-3.53,78.77,4.61
152,roald,75,NO,1525641600,100,62.58,6.12,50.0,4.7
